first_name,last_name,email,phone,address,age,gender,parental_status,birthdate,date_of_last_visit,visits_last_12_months,membership_type,member
Otis,Mendez,o.mendez@email.com,555-873-1173,"890 Larkspur Ct, Burtonsville, MD 20866",25,Male,Non-Parent,1999-11-20,2024-09-30,5,,no
Monica,Burke,m.burke@hotmail.com,555-874-1174,"123 Yarrow Ave, Columbia, MD 21045",40,Female,Parent,1984-04-03,2024-12-04,50,,no
Heath,Hammond,h.hammond@gmail.com,555-875-1175,"456 Cosmos Way, Columbia, MD 21046",35,Male,Parent,1989-09-16,2024-11-28,50,,no
Cristina,Fox,cristina.fox@yahoo.com,555-876-1176,"789 Heather Ln, Columbia, MD 21044",47,Female,Parent,1977-02-01,2024-12-01,44,,no
Sheldon,Weaver,s.weaver@outlook.com,555-877-1177,"1012 Clarkia Dr, Woodstock, MD 21163",20,Male,Non-Parent,2004-06-14,2024-07-05,2,,no
Danielle,Hansen,d.hansen@gmail.com,555-878-1178,"345 Amaranth Blvd, Columbia, MD 21045",33,Female,Parent,1991-11-28,2024-12-05,58,,no
Roberto,Reed,r.reed@email.com,555-879-1179,"678 Liatris St, Columbia, MD 21046",44,Male,Parent,1980-04-10,2024-11-24,44,,no
Sylvia,Payne,s.payne@hotmail.com,555-880-1180,"901 Salvia Way, Fulton, MD 20759",53,Female,Non-Parent,1971-09-23,2024-11-18,34,,no
Cornelius,Delgado,c.delgado@gmail.com,555-881-1181,"1234 Columbine Ave, Columbia, MD 21044",37,Male,Parent,1987-02-06,2024-11-29,50,,no
Pamela,Walters,p.walters@yahoo.com,555-882-1182,"567 Bellflower Rd, Columbia, MD 21045",42,Female,Parent,1982-07-19,2024-12-02,48,,no
Jasper,Cross,j.cross@outlook.com,555-883-1183,"890 Coneflower Ct, Glenelg, MD 21737",23,Male,Non-Parent,2002-12-02,2024-08-15,3,,no
Tamara,Owens,t.owens@gmail.com,555-884-1184,"123 Tickseed Ln, Columbia, MD 21046",35,Female,Parent,1989-05-25,2024-12-03,56,,no
Lorenzo,Pope,l.pope2@email.com,555-885-1185,"456 Cornflower Blvd, Columbia, MD 21044",49,Male,Parent,1975-10-08,2024-11-21,40,,no
Anita,Powers,a.powersb@hotmail.com,555-886-1186,"789 Edelweiss Way, Columbia, MD 21045",46,Female,Parent,1978-03-21,2024-12-04,46,,no
